original,leicht
"Alle Träger öffentlicher Gewalt sind verpflichtet, ihre digitalen Angebote barrierefrei zu gestalten.",Auch digitale Angebote von Unternehmen müssen eigentlich barrierefrei sein.
"Ein darauf sitzender Sensor funkt die Daten zum Beispiel an ein Smartphone, das den aktuellen Wert und Verlauf anzeigt.",Der Sensor sendet die Daten dann zum Beispiel an ein Smartphone.
"Sie protokollieren Blutzucker- und Blutdruckwerte, Broteinheiten von Mahlzeiten, körperliche Aktivitäten, Informationen zum Wohlbefinden oder Krankheitssymptome sowie eingenommene Medikamente.",Symptome von Krankheiten genommene Medikamente Informationen über Ihren Gesundheitszustand
"Normalerweise übernehmen die gesetzlichen Kassen die Kosten für Medikamente und Hilfsmittel, sofern sie ärztlich verordnet sind.",Sind Medikamente und Hilfsmittel vom Arzt verordnet?
"Bei der Langzeitvariante der CGM-Methode tragen die Diabetikerinnen und Diabetiker den Sensor für drei Monate lang unter der Haut, meist am Oberarm.",Dabei haben Sie den Sensor 3 Monate lang unter der Haut.
Das FGM-Verfahren funktioniert ähnlich wie die CGM-Methode.,Das FGM-Verfahren funktioniert so ähnlich wie das CGM-Verfahren.
"Wird der individuell festgelegte untere und obere Grenzwert der betroffenen Person überschritten, ertönt ein Alarmsignal und es kann sofort gegengesteuert werden.",Dann ertönt ein Warnsignal und Sie können entsprechend reagieren.
Sie dienen als digitale Tagebücher für die händische oder automatische Dokumentation der unterschiedlichsten Daten für Diabetes-Therapie.,Sie können die Apps als digitales Tagebuch für Ihre Behandlung benutzen.
"Bei der Untersuchung kann der Arzt nicht nur bereits vorhandenen Krebs diagnostizieren, sondern auch gutartige Schleimhautwucherungen abtragen und somit möglicherweise Krebs vorbeugen.",Bei einer Chemotherapie bekommt der Patient Medikamente gegen den Krebs.
Die Wahrscheinlichkeit für die Entstehung von Krebs ist damit erhöht.,Rauchen ist die häufigste Ursache für Krebs.
Im Stadium 0 ist der Krebs nur oberflächlich und stellt eigentlich nur eine Vorstufe zum Krebs dar.,Viele von den Stoffen in Tabak können Krebs auslösen.
Der Tumor dieser Patienten weist eine so genannte Mikrosatelliteninstabilität (abgekürzt MSI-H) auf.,Der Tumor ist sehr groß?
Dann wird der Darm zusätzlich mit einer Computertomografie dargestellt.,Der Darm hat die Form eines langen Schlauchs.
Nur etwa fünf von 100 Adenomen entwickeln sich zu einem bösartigen Tumor.,Dazu sagt man auch: Tumor.
An auffälligen Stellen entnimmt der Arzt Gewebeproben ( Biopsie ).,Bei der Nachsorge-Untersuchung prüft der Arzt:
"Eine weitere Rolle spielt, wo genau im Darm sich der Krebs befindet.",Und Blutungen im Darm können ein Anzeichen für Krebs sein.
"Je nach Lage des Tumors im Dickdarm, wählt der Arzt unterschiedliche Untersuchungsmethoden aus.",Der Dickdarm nimmt das Wasser aus der verdauten Nahrung auf.
Gutartige Schleimhautwucherungen – die sogenannten Polypen – werden nach Möglichkeit endoskopisch abgetragen.,Die Polypen sind zuerst nicht gefährlich.
"Erfolgt die erste Darmspiegelung erst im Alter von 65 Jahren oder später, ist keine zweite Spiegelung als Kassenleistung vorgesehen.",Eine dieser Untersuchungen ist zum Beispiel die Darmspiegelung.
Muss ich zu Hause bleiben?,Muss ich zu Hause bleiben?
Habe ich mich möglicherweise bereits angesteckt?,Habe ich mich schon angesteckt?
"Kann ich meine Familie, Freunde, Kollegen anstecken?",Kann ich deshalb meine Familie anstecken?
Können meine Kinder in den Kindergarten oder in die Schule?,Dürfen meine Kinder in den Kinder-Garten?
Häufig gestellte Fragen,Häufige Fragen
Darf ich arbeiten?,Darf ich wieder arbeiten gehen?
Muss ich mich untersuchen lassen?,Kann ich andere Menschen anstecken?
"Wenn Sie Fragen zum Auftreten von Infektionskrankheiten haben, können Sie sich gerne an uns wenden.",Bei uns bekommen Sie Beratung und Hilfe.
Kann ich mich anstecken?,Zum Beispiel: Wie kann ich mich anstecken?
"Ich arbeite im Lebensmittelgewerbe, Altenheim, Krankenhaus oder anderen sozialen Einrichtungen oder einer Gemeinschaftseinrichtung für Kinder und Jugendliche.",Die Mitarbeiter und Mitarbeiterinnen im Gesundheits-Amt wissen: Welche ansteckenden Krankheiten es gibt.
"Es ist wichtig, dass Sie sich aktiv an der Verhütung, der Weiterverbreitung derartiger Infektionskrankheiten beteiligen.",Damit sich ansteckende Krankheiten nicht weiter verbreiten!
Ist meine Familie gefährdet?,Anstecken heißt: Jemand ist krank.
Dieses Virus gehört zur Familie der Herpes-Viren und kann zwei verschiedene Krankheitsbilder auslösen.,Dieses Virus kann zwei unterschiedliche Erkrankungen auslösen:
"Sie können Abschriften von Dokumenten in deutscher Sprache bei uns beglaubigen lassen, sofern das Original von einer Behörde ausgestellt oder die zu beglaubigende Kopie zur Vorlage bei einer Behörde bestimmt ist.","Wir beglaubigen Kopien von Papieren in deutscher Sprache , wenn das Original von einem deutschen Amt ist."
Neben dem Schreiben und Übersetzen von Texten in Leichte Sprache bieten wir auch Schulungen für Leichte Sprache an.,Und wir bieten Schulungen für Leichte Sprache an.
"Zeitgenössische moderne Kunst vermag nicht die Welt zu verändern, aber vielleicht die Gedanken darüber.",Kunst kann die Welt wohl nicht verändern.
Durch die vielschichtigen Kunstwerke entstehen Brücken zwischen Menschen mit und ohne Behinderung.,Zum Beispiel Menschen mit und ohne Behinderung.
Dann können sich Candida-Pilze vermehren und die Symptome einer Pilzinfektion hervorrufen.,Deshalb können sich schlechte Bakterien und Pilze in der Scheide vermehren.
"Die Bakterien können in die Gebärmutter aufsteigen und eine Frühgeburt auslösen, eine Pilzinfektion kann bei der Geburt auf das Baby übergehen.",Dann kann sich die Schleimhaut in der Scheide erholen und der Pilz kann abgetötet werden.
"Ebenso Krankheiten, die das Immunsystem schwächen , zum Beispiel AIDS.","Manche Ursachen erhöhen das Risiko für einen Scheidenpilz, zum Beispiel:"
"Mehr zu den Maßnahmen, die Scheidenpilz vorbeugen können, erfahren Sie hier.",Sie wollen noch mehr über Scheidenpilz lesen?
Zudem kann eine übermäßige Hygiene im Intimbereich die natürliche Hautflora verändern und Pilzen das Wachstum ermöglichen.,Hormonveränderungen Diabetes manche Medikamente übermäßige Hygiene im Intimbereich ungeschützter
In einigen Ländern benötigen Sie zusätzlich zum nationalen einen internationalen Führerschein.,In manchen Ländern brauchen Sie zusätzlich zum nationalen Führer-Schein einen inter-nationalen Führer-Schein.
"Aktuelle Informationen, ob Sie einen internationalen Führerschein brauchen, erhalten Sie bei den großen Automobilclubs, den Reiseveranstaltern, sowie den jeweiligen Botschaften und Konsulaten.","Ob Sie einen inter-nationalen Führer-Schein brauchen, erfahren Sie bei den großen Auto-mobil-Clubs, bei den Reise-Veranstaltern oder bei den Botschaften und Konsulaten."
"Wenn Sie noch keinen EU-Führerschein im Scheckkarten-Format haben, müssen Sie diesen zunächst beantragen.","Achtung: Wir können Ihnen nur einen inter-nationalen Führer-Schein geben, wenn Sie einen EU-Führer-Schein im Karten-Format haben."
Die Gebühr können Sie bar oder mit der EC-Karte und PIN-Nummer bezahlen.,Oder Sie können auch mit Ihrer EC-Karte bezahlen.
Flörsheim Telefon: 0 61 45 / 89 95 Telefax: 0 61 45 / 94 12 08 E-Mail zentral:,Flörsheim Telefon: 0 61 45 / 89 95 Telefax: 0 61 45 / 94 12 08 E-Mail für alle im Haus: wh-floersheim@lhmtk.de
"Die weitgehend selbstständigen Bewohnerinnen und Bewohner leben entweder in einer Wohngemeinschaft, als Paar oder alleine.",Dabei achten die Betreuer besonders auf die Wünsche der einzelnen Menschen.
Das im Jahr 1985 eröffnete Wohnheim steht im alten Ortskern von Flörsheim.,Das sagen die Leute im Wohnheim:
"Wir sind stolz darauf, Flörsheimer Bürger zu sein!","Sie unterstützen die Bewohnerinnen und Bewohner, damit sie viele Sachen selbständig machen können."
Neue Plattform für Kunst von Frauen und queeren Personen in Dresden.,In Dresden gibt es einen neuen Ausstellungs-Raum für Frauen und queere Menschen.
Sie wollen ein Kölner Fahrzeug auf eine neue Halterin oder einen neuen Halter in Köln ummelden.,Sie wollen ein Fahrzeug in Köln ummelden auf einen neuen Halter oder eine neue Halterin?
Personalausweis oder Pass der zukünftigen Halterin beziehungsweise des zukünftigen Halters Vollmacht bei Vertretung zusätzlich,Personal-Ausweis oder Pass vom künftigen Halter oder der künftigen Halterin
Im direkten und lebendigen Dialog treffen zeitgenössische Fotograf*innen auf Ikonen der Fotografiegeschichte.,Für Fotografen ist das interessant.
"Wenn Sie akut an einer Kehlkopfentzündung erkrankt sind, können möglicherweise folgende Tipps helfen:",Ursachen einer akuten Kehlkopf-Entzündung sind zum Beispiel:
Sprechen Sie möglichst wenig.,Sie denken:
Rückfluss von Urin aus der Blase in den Harnleiter (vesiko-ureteraler Reflux),In der Blase sammelt sich der Urin.
Eine Blasenentzündung ist schmerzhaft.,Es gibt verschiedene Ursachen für eine Blasenentzündung.
"Das verringert das Risiko, dass Bakterien aus dem Magen-Darmtrakt in die Harnröhre gelangen.",Deshalb gelangen die Bakterien leichter in die Harnröhre.
Immer wieder eine Blasenentzündung – das muss nicht sein.,Deshalb sollten Männer bei einer Blasenentzündung immer zum Arzt gehen.
"In aufeinander folgenden Röntgenbildern wird dann dokumentiert, wie sich die Blase entleert.",Die Blase ist ein wichtiges Organ im unteren Bauch.
Beim Miktionszystogramm bekommt der Patient Kontrastmittel durch die Harnröhre in die Blase gespritzt.,Die Harnröhre und die Blase können sich entzünden.
Blasenentzündungen treten vor allem bei Frauen auf.,Leichte Blasenentzündungen heilen bei sonst gesunden Menschen oft von alleine.
"Manche Menschen haben jedoch längerfristig Symptome einer Blasenentzündung, ohne dass sich Bakterien oder andere Keime im Urin nachweisen lassen.","Weitere Anzeichen für eine Blasenentzündung können sein: der Urin ist trüb oder riecht, es ist vielleicht Blut im Urin."
Sie gehören zur normalen menschlichen Darmflora.,Trinken Sie viel und halten Sie sich warm.
Auch Blut im Urin ist möglich.,Man muss Wasserlassen und den Urin ausscheiden.
"Wenn Sie von uns Post erhalten haben, können Sie Ihre persönliche Sachbearbeiterin oder Ihren persönlichen Sachbearbeiter anrufen.","Wenn Sie einen Brief von uns bekommen haben, dann können Sie uns direkt anrufen."
"Bevor Sie uns anrufen, lesen Sie bitte unsere folgenden Informationen, denn diese werden viele Ihrer Fragen bereits beantworten.",Wichtig: Bevor Sie uns anrufen: Lesen Sie bitte unsere Infos.
Die Telefonnummer finden Sie im Briefkopf.,Die Telefon-Nummer steht oben im Brief .
"Außerdem gebe es gesetzliche Vorgaben der Zulassungsbehörden, die die Inhalte der Beipackzettel vorschreiben.",Der Inhalt des Beipackzettels ist gesetzlich geregelt.
"Der Abschnitt beschreibt, wie das Medikament richtig eingenommen und dosiert wird.",Wie wird ein Medikament eingenommen?
"Informationen zum Aussehen der Tabletten, zur Dosierung oder zu den enthaltenen Hilfsstoffen können wichtige Hinweise für ­Patienten sein, die etwa Farbstoffe oder Gluten nicht vertragen.",Dazu gehören zum Beispiel Informationen über: das Aussehen die richtige Menge die Inhaltsstoffe des Medikaments Sie sind sich nicht sicher:
Urkunden und Übersetzungen müssen im Original vorgelegt werden.,Urkunden und Ãbersetzungen mÃ¼ssen im Original vorgelegt werden.
Bitte füllen Sie das Formular vollständig aus und senden uns den unterschriebenen Antrag dann zusammen mit den erforderlichen Unterlagen zu.,"Sprechen Sie mit uns, wenn Sie: Fragen haben zu Urkunden aus dem Ausland."
"Wenn Sie oder Ihr Kind im Ausland geboren wurden, können Sie beim Standesamt Ihres Wohnortes einen Antrag auf Eintragung der Geburt im Geburtenregister stellen.","Wenn Ihr Kind im Ausland geboren wurde, kÃ¶nnen Sie die Geburt ins Geburten-Register eintragen lassen."
"Voraussetzung ist, dass Sie oder Ihr Kind die deutsche Staatsangehörigkeit besitzen, asylberechtigt, ausländischer Flüchtling oder staatenlos sind.","Sie kÃ¶nnen dies tun, wenn das Kind Deutsche oder Deutscher ist."
Diese müssen in Deutschland öffentlich bestellt oder beeidigt sein.,Aber in bestimmten FÃ¤llen kann der Eintrag ins Geburten-Register rechtlich wichtig sein.
"Dazu beraten wir Sie gerne Urkundenservice Sollten Sie für Ihren Antrag Urkunden des Standesamtes Köln benötigen, können Sie diese online bestellen.","Wenn Sie fÃ¼r den Antrag noch deutsche Urkunden brauchen, dann kÃ¶nnen Sie die UrkundenÂ bei uns im Internet bestellen."
Gerne können Sie Ihre Unterlagen auch ohne Wartezeit an unserer Infotheke abgeben.,Sie kÃ¶nnen keine Kopien abgeben.
Eine persönliche Vorsprache ist zunächst nicht notwendig.,Wichtig ist auch:
"Wenn Sie derzeit nicht in Deutschland gemeldet sind, ist das Standesamt Ihres letzten inländischen Wohnsitzes zuständig.","Wenn das Kind nicht Deutsche oder Deutscher ist, muss es das Recht auf Asyl in Deutschland haben."
"Sollten Sie nie in Deutschland gemeldet gewesen sein, ist das Standesamt I in Berlin für die Eintragung der Geburt im Geburtsregister zuständig.",Zum Beispiel: Ihre Urkunde aus der TÃ¼rkei ist in tÃ¼rkischer Sprache.
"Für die Ausstellung einer Geburtsurkunde wird eine Gebühr von 10 Euro erhoben, für jede weitere Urkunde 5 Euro.",5 Euro mÃ¼ssen Sie fÃ¼r jede weitere Geburts-Urkunde bezahlen.
"Diclofenac lindert Schmerzen , Entzündungen und Fieber .",Diclofenac ist ein Schmerzmittel.
Diclofenac kann zudem die Leberwerte verändern.,Mehr Informationen über Diclofenac finden Sie hier .
"Generell wird Diclofenac als Tablette besser vertragen, wenn Sie diese nicht auf nüchternen Magen, sondern zum Essen und mit einem Glas Wasser einnehmen.",Sie können Diclofenac in unterschiedlichen Formen einnehmen: als Tablette als Kapsel als Gel als Zäpfchen als Schmerzpflaster
Benötigt werden Alter Kinderreisepass,Was kostet ein Kinder-Reise-Pass?
Für Kinder unter 12 Jahren können Sie einen Kinderreisepass beantragen.,Bei uns können Sie einen Kinder-Reise-Pass beantragen.
Sie haben Ihren Wohnsitz im Ausland?,Dass Sie jemanden etwas erlauben.
Sie erreichen die Hotline über die kostenfreie 116 116.,Dann sehen Sie die Adresse und die Öffnungs-Zeiten.
"Vergewissern Sie sich vor Antritt der Reise, ob der Staat, in den Sie einreisen möchten, die Kinderreisepässe akzeptiert.",Diese Karte haben Sie bei der Bank für Ihr Konto bekommen.
Bitte beachten Sie die weiteren Hinweise zur Beantragung von Ausweisdokumenten für Minderjährige.,Befolgen Sie bitte die Regeln für Pass-Fotos.
Urkunden und Übersetzungen müssen Sie im Original vorlegen.,Sie können keine Kopie von Urkunden und Übersetzungen abgeben.
Die Verlustanzeige können Sie im Downloadservice herunterladen.,Sie können die Informationen einfach auf ein Papier schreiben.
"Bei Kleinkindern und Jugendlichen zeigen sich die Symptome eher an den Gelenkbeugen, im Nacken, an den Handgelenken und Händen.",Bei Kleinkindern und Jugendlichen ist Neurodermitis vor allem an diesen Stellen häufig: in den Beugefalten der Arme und Beine im Nacken an den Handgelenken an den Händen
"Sogenannte Quellmittel helfen, den Stuhlgang weich zu halten.",Quellmittel machen den Stuhl weich.
"Zudem machen Ballaststoffe länger satt und helfen daher, das Gewicht zu halten.",Ballaststoffe regen die Verdauung an und machen länger satt.
Migräne ist eine häufige Erkrankung:,Migräne ist eine häufige Erkrankung.
Am häufigsten treten die Migräneanfälle zwischen dem 35. und 45. Lebensjahr auf.,Migräne tritt vor allem zwischen dem 35. und 45. Lebensjahr auf.
Ein Migräneanfall gliedert sich meist in bestimmte Phasen.,Oft verläuft die Migräne in mehreren Phasen.
Es sind viele Arten der Migräne bekannt.,Es gibt verschiedene Arten von Migräne.
Anschließend können Wahrnehmungsstörungen folgen (Migräneaura).,Eine Migräne-Aura ist eine Wahrnehmungsstörung.
"Migräne bezeichnet bestimmte, anfallsweise auftretende Kopfschmerzen (Migräneattacken), die durch Bewegung verstärkt werden.",Migräne ist eine bestimmte Art von Kopfschmerzen.
"Vieles spricht dafür, dass bei einem Migräneanfall einige Nervennetze übermäßig stark erregt sind.",Bei einer Migräne werden die Nerven im Gehirn zu stark erregt.
Eine gewöhnliche Migräne kann sich zu einer chronischen Migräne ausbilden.,Die Migräne kann aber auch chronisch sein.
Im akuten Migräneanfall ist eine Reihe von Medikamenten hilfreich.,Es gibt auch verschiedene Medikamente gegen Migräne.
Migräne kann außerdem durch Reizüberflutung ausgelöst werden.,Eine Migräne ist oft episodisch.
"Auch sind viele Faktoren bekannt, die eine Migräneattacke auslösen können (Trigger).",Es gibt verschiedene Auslöser für Migräne wie zum Beispiel:
Viele Frauen haben kurz vor und zu Beginn der Menstruation Migräneattacken.,Dann tritt die Migräne oft kurz vor der Menstruation auf.
"Bereits Schulkinder können an Migräne leiden, typisch ist aber ein erstes Auftreten nach der Pubertät.",Aber auch Schulkinder können Migräne bekommen.
Die genaue Ursache der Migräne ist nicht bekannt;,Ärzte kennen die Ursachen einer Migräne nicht immer genau.
Bei fast jedem Migräneanfall treten Kopfschmerzen und teilweise auch Übelkeit mit Erbrechen auf.,Die Kopfschmerzen treten in Anfällen auf.
Neben den häufigen Migränearten sind weitere Formen bekannt.,Es gibt auch besondere Migräne-Medikamente.
Bei bestimmten Migräne-Formen sind auch andere Symptome möglich.,Anzeichen für eine Migräne-Aura sind zum Beispiel:
Migräneattacken können sehr unterschiedlich verlaufen.,Der Verlauf der Migräne hängt von ihrer Art ab:
"Die zumeist starken Kopfschmerzen treten in der Mehrzahl der Fälle halbseitig auf (Hemikranie), können aber auch den gesamten Kopf betreffen.",Die Kopfschmerzen sind halbseitig oder am ganzen Kopf.
"Zusätzlich zu den Kopfschmerzen müssen andere Symptome wie etwa Übelkeit , Appetitlosigkeit oder Licht- und Lärmüberempfindlichkeit auftreten.",Neben den Kopfschmerzen haben betroffene Personen oft noch andere Beschwerden wie zum Beispiel Übelkeit.
Die Migräneaura geht manchmal auch mit Gleichgewichtsstörungen einher.,Manche betroffenen Personen haben auch eine Migräne-Aura .
"Ein Kopfschmerztagebuch ist hilfreich, um die individuellen Migränetrigger zu erkennen.",Mehr Informationen über Migräne finden Sie hier .
Sie können mit Medikamenten gegen Übelkeit kombiniert werden.,Dann können Medikamente gegen die Übelkeit helfen.
Dabei entsteht eine Entzündungsreaktion mit Reizung der Blutgefäße im Gehirn.,Durch die Entzündungen weiten sich die Blutgefäße im Gehirn.
In diesem Fall bestehen die Symptome an mehr als 15 Tagen im Monat.,Dann kommen die Beschwerden an mehr als 15 Tagen im Monat vor.
"Um eine Migräne zu diagnostizieren, erkundigt sich der Arzt zunächst nach den Beschwerden.",Ihr Arzt stellt bei Ihnen eine Migräne fest?
"Teilweise gehen dem Kopfschmerz besondere Empfindungen wie zum Beispiel Sehstörungen voraus, die sogenannte Migräne-Aura.",Während der Kopfschmerzphase reagieren betroffene Personen oft empfindlich auf Lärm und Licht.
erhöhte Licht- und Lärmempfindlichkeit,Konzentrationsstörungen Empfindlichkeit bei Licht und Lärm
"Auch helfen Entspannungsübungen, um weniger anfällig für Migräne zu werden.",Auch Sport kann gegen das Auftreten von Migräne-Anfällen helfen.
"So können zum Beispiel Sehstörungen, Kribbelgefühle , Sprachstörungen, Schwindelgefühle oder selten sogar Lähmungen vorkommen.",Flimmersehen Kribbelgefühl von der Hand bis zum Kopf Sprachstörungen
Etwa sieben Prozent der Männer und 13 Prozent der Frauen haben Migräneattacken.,Frauen haben häufiger Migräne als Männer.
Ihr Arzt wählt den für Sie geeigneten Wirkstoff aus.,Der Arzt informiert Sie über die richtige Behandlung.
Diese betreffen meist das Sehen (visuelle Aura).,Meist betrifft die Wahrnehmungsstörung das Sehen.
Schlaf wirkt häufig erleichternd.,Schlafen Sie.
Sie nehmen die Kopfschmerzen meist beiderseitig im Bereich von Stirn und Schläfen wahr.,Manche Personen haben ein Stechen in der Stirn und in den Schläfen.
Auch Komplikationen sind möglich.,Vielleicht können Sie die Auslöser nicht immer vermeiden.
Ihr Arzt oder Apotheker kann Ihnen dazu Auskunft geben.,Fragen Sie Ihren Arzt.
Bei einer akuten Nierenbeckenentzündung verschreibt der Arzt in der Regel ein Antibiotikum.,Oft verschreibt der Arzt ein Antibiotikum.
Bei einer chronischen Nierenbeckenentzündung ist die Niere durch die wiederkehrenden Entzündungen meist verformt.,In der Niere verursachen die Bakterien die Entzündung.
Die Eintragung der Geburt im Geburtenregister kostet 40 Euro.,40 Euro kostet das Eintragen vonÂ der Geburt von einem solchen Kind ins Geburten-Register.
Benötigt werden Personalausweise oder Reisepässe des Kindes und der Eltern Geburtsurkunde des Kindes Geburtsurkunden der Eltern Heiratsurkunde der Eltern,"Dazu brauchen Sie: Ihren Personal-Ausweis oder Reise-Pass die Geburts-Urkunde vom Kind , das wir ins Geburten-Register eintragen sollen die Geburts-Urkunden von den Eltern die Ehe-Urkunde der Eltern Ãbersetzungen von den Urkunden aus dem Ausland."
"Wenn Sie oder Ihr Kind im Ausland geboren wurden, können Sie beim Standesamt Ihres Wohnortes einen Antrag auf Eintragung der Geburt im Geburtenregister stellen.","Â Wenn Sie selbst im Ausland geboren wurden, kÃ¶nnen Sie Ihre Geburt auch ins Geburten-Register eintragen lassen."
"Wenn Sie für Ihr Kind einen vorläufigen Reisepass beantragen, muss Ihr Kind Sie bei der Antragstellung begleiten.","Wichtig: Wenn Sie einen vorläufigen Reise-Pass für Ihr Kind brauchen, dann muss mindestens 1 Eltern-Teil mit dem Kind zu uns kommen."
Die Verlustanzeige können Sie im Downloadservice herunterladen.,Dann müssen Sie die Verlust-Anzeige ausdrucken .
"Ist zum Beispiel ein eingewachsener Nagel für die Nagelbettentzündung verantwortlich, kann der Arzt den Nagel operativ verkleinern.",Die häufigste Ursache einer Nagelbett-Entzündung sind kleine Wunden in der Haut um den Nagel.
Ein entfernter Nagel wächst normalerweise innerhalb von ein paar Monaten wieder nach.,Aber der Nagel wächst meistens wieder nach.
Die Neigung zu Nagelbettentzündungen erhöht sich.,Sie wollen noch mehr über die Nagelbett-Entzündung lesen?
Durch die durchsichtige Nagelplatte schimmert das Nagelbett rosafarben hindurch.,"Das Gewebe ist rot, das Nagelbett ist dick und tut weh, die Haut fühlt sich an dieser Stelle warm an."
"Eingewachsene Nägel, Nägelkauen oder Quetschungen schädigen ebenfalls die umgebenden Schichten.",So wachsen die Nägel nicht ein oder brechen ab.
"Fußnägel schneiden Sie gerade und feilen sie nach, damit keine scharfen Kanten bleiben, die zu Verletzungen führen könnten.",Schneiden Sie die Nägel an den Seiten nicht zu schräg.
"Schneiden Sie Finger- und Fußnägel regelmäßig, damit sie nicht einwachsen oder brechen.",Lassen Sie Ihre Fußnägel von der medizinischen Fußpflege schneiden.
Für wen eignet sich der PCR-Test?,Mit dem PCR-Test prüft der Arzt:
Doch auch der Antigen-Test hat zwei Haken.,Hinweis: Der Antigen-Test ist weniger zuverlässig als der PCR-Test.
"Ihr Arzt oder Ihre Ärztin Ihnen zwei oder mehr Medikamente, dann besteht die Möglichkeit, dass sich die enthaltenen Wirkstoffe gegenseitig beeinflussen.",Dann kann sich die Wirkung der verschiedenen Medikamente beeinflussen.
"Ärzte und Apotheker sprechen dabei von ""Wechselwirkungen"".",Ihr Apotheker kann Ihnen dann weiterhelfen.
Wirkstoffe können sich in unterschiedlicher Weise beeinflussen.,Mehr Informationen über Wechselwirkungen finden Sie hier .
Bakterien können so leichter in die Harnröhre gelangen.,Von der Harnröhre aus gelangen die Bakterien dann in die Niere und in das Nierenbecken.
Beim Verdacht auf eine akute Nierenbeckenentzündung sollte auf jeden Fall schnellstmöglich ein Arzt aufgesucht werden.,Eine akute Nierenbecken-Entzündung kann gut behandelt werden.
Bei einer akuten Nierenbeckenentzündung sind in 80 Prozent der Fälle Escherichia coli-Bakterien die auslösenden Erreger.,Die häufigste Ursache einer Nierenbecken-Entzündung sind Darm-Bakterien.
Der Harnleiter leitet den Urin weiter zur Harnblase.,Vom Nierenbecken aus fließt der Urin dann durch den Harnleiter in die Blase.
Heilt die Wunde gut?,Feucht-Pflaster lassen die Wunde schneller heilen.
Berühren Sie die Wunde dabei nicht.,Dann halten Sie die Wunde unter lauwarmes Leitungswasser.
Schürfwunden heilen aber relativ schnell und meist ohne Narbenbildung ab.,Schürfwunden heilen schnell ab.
Auch kann direkt mit der Hand auf die Wunde/den Verband gedrückt werden.,Hinweis: Der Verband soll auf die Wunde drücken.
"Legen Sie eine sterile Wundauflage auf die Wunde, befestigen Sie sie mit Mullbinden, legen Sie dann ein verschlossenes Verbandpäckchen darüber und fixieren Sie dieses straff mit einer weiteren Binde.",So machen Sie einen Druckverband: Legen Sie eine sterile Kompresse auf die Wunde.
"Platzwunden haben rauhe Ränder, die oft auseinander klaffen.",Bisswunden und Kratzwunden können nämlich gefährlich sein.
Tragen Sie ein geeignetes Wunddesinfektionsmittel auf.,Benutzen Sie ein Desinfektionsmittel für Wunden.
"Befindet sich viel Schmutz in der Wunde, dann gründlich spülen und anschließend desinfizieren.",Das Blut spült Schmutz und Krankheitserreger aus der Wunde.
Stillen Sie die Blutung – wenn möglich – mit einem Druckverband.,112. Dann stoppen Sie die Blutung mit einem Druckverband.
Genaueres lesen Sie im Beitrag Verbrennungen.,Kühlen Sie die Verbrennung nicht länger als fünf Minuten.
Starke Blutungen können lebensbedrohlich sein – rufen Sie sofort den Rettungsdienst (112)!,Rufen Sie sofort den Rettungsdienst.
"Harmlose, kleinere Verletzungen, die nicht zu stark bluten, können Sie selbst versorgen.",Leichte Verletzungen können Sie oft selbst versorgen.
Das Reizdarmsyndrom ist nach derzeitigem Verständnis eine Störung der Darm-Hirn-Achse.,Das Reizdarm-Syndrom ist eine Erkrankung des Darms.
Beim Reizdarm können die Darmbewegungen verändert sein:,Manchmal ist die Bewegung des Darms gestört:
"Normalerweise bewegt sich die Darmmuskulatur rhythmisch, um den Darminhalt weiterzubefördern.",Die Darm-Muskeln sind ständig in Bewegung.
"Eine Reihe von Störungen der Verdauungstätigkeit können reizdarmähnliche Beschwerden hervorrufen, sind aber eigenständige Krankheitsbilder.",Typische Beschwerden des Reizdarms sind zum Beispiel:
"Dadurch gelangen mehr Säuren in den Dickdarm, was zu Durchfall führen kann.",Die restliche Gallensäure kann dann den Darm reizen.
"Auch einige Nahrungsmittelunverträglichkeiten, die bei Reizdarm eine Rolle spielen, könnten auf diese Weise entstehen.",Manche Nahrungsmittel können den Darm reizen.
Das Reizdarmsyndrom ist eine Krankheit mit vielen Gesichtern.,Es gibt verschiedene Typen des Reizdarm-Syndroms.
"Entweder bewegt sich der Darminhalt langsamer fort, was zu Verstopfung führt, oder schneller, was in Durchfall mündet.",Oder der Darm bewegt sich zu langsam.
"Ebenso, ob eine veränderte Bakterienzusammensetzung Ursache oder Folge der Darmkrankheit ist.",Bestimmte Medikamente oder Infektionen können die Darmflora beeinflussen.
Es sind mehr Frauen als Männer betroffen.,Frauen erkranken häufiger am Reizdarm-Syndrom als Männer.
"Bestimmte Genveränderungen erhöhen die Wahrscheinlichkeit für ein Reizdarmsyndrom, wenn weitere Faktoren hinzukommen.",Manche Menschen werden mit einem höheren Risiko für ein Reizdarm-Syndrom geboren.
"Primär handelt es sich beim Reizdarmsyndrom wohl um eine Störung der Darm-Hirn-Achse, immunologische Prozesse haben aber auch ihren Anteil.",Die Ursachen für ein Reizdarm-Syndrom sind zum Beispiel: die Psyche.
"Das könnte die Beschwerden im Bauch hervorrufen, das gemeinsame Auftreten mit anderen Erkrankungen erklären und auch die Psyche beeinflussen.",Deshalb können psychische Belastungen wie Sorgen oder Stress ein Reizdarm-Syndrom auslösen.
"Welche Rolle die Darmflora genau beim Reizdarm spielt, muss weiter erforscht werden.",Die Darmflora besteht aus verschiedenen Darmbakterien.
Möglicherweise aktivieren sie das Darm-Immunsystem dauerhaft.,Dann kann die Darmflora aus dem Gleichgewicht geraten.
